Feature,Correlation,feature_category,absCor
mean.Sichels.S,0.53573122993324,FANTASTIC,0.53573122993324
MeloSol Frequency,0.47031124099621,Frequency Distribution,0.47031124099621
note.dens,0.387992893397757,FANTASTIC,0.387992893397757
tonal.clarity,0.265634390193276,Tonal,0.265634390193276
tonalness,0.23667846516038,Tonal,0.23667846516038
tonal.spike,0.016783610068541,Tonal,0.016783610068541
int.cont.grad.mean,-0.044269059192256,FANTASTIC,0.044269059192256
int.cont.glob.dir,-0.056970474065585,FANTASTIC,0.056970474065585
mean.Simpsons.D,-0.063324202449101,FANTASTIC,0.063324202449101
p.entropy,-0.238561901089197,FANTASTIC,0.238561901089197
step.cont.glob.dir,-0.290094287115624,FANTASTIC,0.290094287115624
p.std,-0.453532770913078,FANTASTIC,0.453532770913078
mean.Honores.H,-0.454989973763637,FANTASTIC,0.454989973763637
len,-0.458256254274682,FANTASTIC,0.458256254274682
glob.duration,-0.458256254274682,FANTASTIC,0.458256254274682
p.range,-0.478050840552081,FANTASTIC,0.478050840552081
step.cont.glob.var,-0.478960957148243,FANTASTIC,0.478960957148243
mean.Yules.K,-0.485326587617837,FANTASTIC,0.485326587617837
int.cont.dir.change,-0.491290682747086,FANTASTIC,0.491290682747086
i.mode,-0.50215711908935,FANTASTIC,0.50215711908935
mean.productivity,-0.563335423161302,FANTASTIC,0.563335423161302
i.abs.mean,-0.575906959522451,FANTASTIC,0.575906959522451
int.cont.grad.std,-0.655555104992486,FANTASTIC,0.655555104992486
i.entropy,-0.656640978575463,FANTASTIC,0.656640978575463
i.abs.std,-0.690112969049789,FANTASTIC,0.690112969049789
i.abs.range,-0.71044291077467,FANTASTIC,0.71044291077467
mean.entropy,-0.716180536427659,FANTASTIC,0.716180536427659
step.cont.loc.var,-0.717415351456398,FANTASTIC,0.717415351456398
Average IDyOM IC,-0.757170340741527,IDyOM,0.757170340741527
